id,Floor,Location,CiscoExt,Updateby,ComputerName,SerialNumber,PCModel,CPU,RAM,IPAddress,MACAddress,WindowsEdition,DisplayVersion,OSVersion,CitrixName,CitrixVersion,RecordedDateTime
44,11,30G,20785,407006,T-MOB1000021,4CE1290XZF,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.80.144,0068.EBCC.AE86,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:50:02
45,11,55A,11054,407006,T-MOB100124,4CE1290XNQ,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.108.101,0068.EBCC.B0C8,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:50:51
46,11,55C,10208,407006,T-MOB1000212,3L4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.111.201,C025.A591.4878,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:52:09
47,11,55D,11464,407006,T-MOB1000014,4CE1290XNS,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.83.93,0068.EBCC.B0F5,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2309,23.9.1.104,2024-03-11 13:52:59
48,11,55G,11464,407006,T-MOB1000013,4CE1290Y13,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.110.100,0068.EBCC.AA27,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:54:08
49,11,55B,11465,407006,T-MOB1000017,4CE1290Y1X,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.110.94,0068.EBCC.AE74,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:55:33
50,11,55F,11438,407006,T-MOB1000018,4CE1290XVB,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.108.108,0068.EBCC.9A6B,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 13:57:05
51,FloorTest,55C,XXXXX,CJ,T-MOB1000066,SGH452S75H,HP EliteDesk 800 G1 SFF,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,4 GB,10.16.83.33,6451.065A.A535,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 15:50:43
52,11,26G,11029,405128,T-MOB1000568,9Z4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.111.11,C025.A58A.5DF9,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 16:19:18
53,11,29 A,11945,JVERANA,T-MOB1001231,8CC0250FDV,HP EliteDesk 800 G5 Desktop Mini,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,16 GB,10.16.80.102,BCE9.2F86.716E,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 16:20:10
54,11,26E,10304,405128,T-MOB1001260,244JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.110.6,C025.A591.49BB,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 16:21:29
